Company,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,President,Director of Acquisitions,Head of Corporate Development,Director of Asset Management,Head of Investor Relations,Chairman of the Board,VP/Head of Exploration,Chief Geologist
First Quantum Minerals Limited,Philip Kelvin Rodda Pascall,Hannes Meyer,,Geoffrey Clive Newall,,,,,Philip Kelvin Rodda Pascall,,
First Silver Reserve Inc.,,,,,,,,,,,
First Star Resources Inc.,Christopher R. Anderson,,,Christopher R. Anderson,,,,,,,
First Strike Diamonds Inc.,,,,,,,,,,,
First Uranium Corporation,,,,,,,,,,,
Firstgold Corp,,,,,,,,,,,
Fission 3.0 Corp.,Devinder Randhawa,Paul Charlish,Ross E. McElroy,Phil Morehouse,,,,,Devinder Randhawa,Raymond Ashley,Ross E. McElroy
Fission Energy Corp,Devinder Randhawa,,,,,,,,Devinder Randhawa,,
Fission Uranium Corporation,Devinder Randhawa,Paul Charlish,Ross E. McElroy,Ross E. McElroy,,,,,Devinder Randhawa,Raymond Ashley,Ross E. McElroy
Fjordland Exploration Inc.,Richard C. Atkinson,Patricia Tanaka,,Richard C. Atkinson,,,,,,,
Flag Resources (1985) Ltd.,,,,,,,,,,,
Flemish Gold Corp.,,,,,,,,,,,
Fletcher Nickel Inc.,,,Thomas H. Poupore,,,,,,Michael John O'Leary,,
Flinders Mines Limited,,Jim Panagopoulos,,,,,,,Neil Fredrick Warburton,,
Fluormin Plc.,Mark Bolton,Elizabeth Jane Hywood,,,,,,,James Christopher Passin,,
FMC Corporation,Pierre R. Brondeau,Paul W. Graves,Barry J. Crawford,Pierre R. Brondeau,,Brian P. Angeli,,,Pierre R. Brondeau,,
FNX Mining Company Inc.,,,,,,,,,,,
Focus Gold Corporation,Michael O. Choo,John Burke,,Michael O. Choo,,,,,Michael O. Choo,,
Focus Graphite Inc.,Gary Economo,Judith T. Mazvihwa-MacLean,Gary Economo,Gary Economo,,,,,Jeffrey York,Benoit Lafrance,
Focus Minerals (Laverton) Pty Ltd.,,,,,,,,,,,
Focus Minerals Limited,Wanghong Yang,,,,,,,,Dianfei Pei,,
Focus Ventures Ltd.,Simon T. P. Ridgway,Kevin Bales,,Gordon Tainton,,,,,Simon T. P. Ridgway,,
Fomento Minero de Santa Cruz Sociedad del Estado,,,,,,,,,,,
Food Revolution Group Ltd.,,,,,,,,,,,
Foran Mining Corporation,Patrick Soares,Tim C. Thiessen,,Patrick Soares,,,,,Darren Morcombe,David Fleming,
Force Commodities Limited,,Michael Bernard Fry,,,,,,,David Grant Sanders,,Michael Roby Leu
Force Minerals Corporation,Nathan Lewis,Nathan Lewis,,Nathan Lewis,,,,,Nathan Lewis,,
Forest Gate Energy Inc.,Michael C. Judson,Nancy Guitard,,Michael C. Judson,,,,Robert Kramberger,Michael C. Judson,,
Forrestania Gold NL,,,,,,,,,Nicholas Curtis,,
Forrester Metals Inc.,William C. Williams,Dennis Gibson,,Martin Walter,,,,,Jose Roberto de Romaña Letts,,
Forsys Metals Corp.,Marcel Hilmer,Dale Brian Hanna,,,,,,,Martin Ronald Rowley,,
Fort St. James Nickel Corporation,Barry Brown,Zenaida Manalo,,Barry Brown,,,,,,,
Forte Consolidated Limited,John Terpu,Bruno Firriolo,,John Terpu,,,,,John Terpu,,
Forte Energy NL,Michael Claude Travia,,,,,,,,,,
Fortescue Metals Group Limited,Neville Power,Elizabeth Anne Gaines,Greg Lilleyman,,,,,,John Andrew Henry Forrest,,
Fortify Resources Inc.,Robert N. Horsley,Abbey Abdiye,,Robert N. Horsley,,,,,,,
Fortuna Silver Mines Inc.,Jorge A. Ganoza Durant,Luis Dario Ganoza Durant,Manuel Ruiz-Conejo,Jorge A. Ganoza Durant,,,,,Simon T. P. Ridgway,David F. Volkert,
Fortune Bay Corp.,Wade K. Dawe,Sarah L. Oliver,,,,,,,Wade K. Dawe,,
Fortune Minerals Limited,Robin E. Goad,David Massola,Glen Koropchuk,Robin E. Goad,,,,,Mahendra Naik,,
Fortune River Resource Corp,,,,,,,,,,,
Fortune Valley Resources Inc.,,,,,,,,,,,
Forum Uranium Corp.,Richard J. Mazur,Jeannine P. M. Webb,,Richard J. Mazur,,Craig Christy,,,,Mark Kenneth Wheatley,Boen Tan
Fox Resources Limited,Bruce Montgomery Garlick,Bruce Montgomery Garlick,,,,,,,Terence Ernest James Streeter,David Storey,David Storey
Fox River Resources Corporation,Stephen D. Case,Fraser Laschinger,,Stephen D. Case,,,,,,,
Foy Group Limited,Stuart Clark,Joshua Herbertson,,,,,,,Paul Gregory Dickson,,
FPX Nickel Corp.,Martin Turenne,J. Christopher Mitchell,,Martin Turenne,,,,,Peter M. D. Bradshaw,,
FQM (Akubra) Inc.,Jochen E. Tilk,James Slattery,,Jochen E. Tilk,,,,,,,
Francisco Gold Corp (Goldcorp),,,,,,,,,,,
Franco-Nevada Corporation,David Harquail,Sandip Rana,,David Harquail,,,,,Pierre Lassonde,,Kerry E. Sparkes
Franco-Nevada Mining Corp.,,,,,,,,,,,
Franconia Minerals Corporation,,Chad R. Houck,,,,,,Greg W. Taylor,,,
"Franklin Mining, Inc.",Robert Kinney,Ricardo A. Grados,,Robert Kinney,,Mark L. Kesselman,,,Robert Kinney,,
Freedom Energy Inc.,George W. Heard,Sean McGrath,,George W. Heard,,,,,,,
Freegold Ventures Limited,J. Kristina Walcott,Gordon Steblin,,J. Kristina Walcott,,,,,Gary Robert Moore,Alvin W. Jackson,
Freegold Ventures Limited,,,,,,,,,,,
Freehill Mining Limited,Juan Enrique Dagach,Paul Davies,Peter Hinner,,,,,,Stephen Chaplin,,
Freeport Minerals Corporation,,,,,,,,,,,
Freeport Resources Inc.,Brenda S. Clark,Martin MacKinnon,Ralph R. Chretien,Brenda S. Clark,,Janet L. Clark,,,,Douglas Alexander Perkins,
Freeport-McMoRan Inc.,Richard C. Adkerson,Kathleen L. Quirk,,Richard C. Adkerson,,,,,Gerald Joe Ford,,
Freewest Resources Canada Inc (Cliffs Natura,,,,,,,,,George Bryson,,
Fremont Gold Corp.,Michael J. Hopley,Edward M. Topham,Michael J. Hopley,Michael J. Hopley,,,,,Michael J. Hopley,,
Fresnillo Plc,Octavio M. Alvídrez,Mario Arreguín,Roberto Diaz,,,,,,Alberto Baillères Gonzalez,David A. Giles,
Fronteer Gold Inc.,Gary J. Goldberg,Sean Tetzlaff,Gary J. Goldberg,,,,,,,,
Frontera Copper Corp (Invecture),,,,,,,,,,,
Frontera del Oro,,,,,,,,,,,
Frontier Capital Group Limited,Francesco Licciardello,Francis Choy,,,,,,Benjamin Amzalak,"Francesco Licciardello, Wong Meng Ho",,Rado Jacob Rebek
Frontier Lithium Inc.,Trevor R. Walker,,,Trevor R. Walker,,,,,Reginald F. Walker,Garth Drever,
Frontier Minerals Inc.,,,,,,,,,,,
Frontier Mining Limited,Yerlan Zhenisovich Aliyev,Marzhan Arifovna Nurumbetova,Umbet Sultanovich Malimbayev,,,,,,,,Fizuli N. Dzhafarov
Frontier Pacific Mining Corporation,,,,,,,,,,,
Frontier Rare Earths Limited,James Kenny,Paul McGuinness,,,,,,,Philip Kenny,,
Frontier Resources Limited,Peter Andrew McNeil,Ben Bussell,,,,,,,Peter Andrew McNeil,Peter Andrew McNeil,Peter Andrew McNeil
Frontline Gold Corporation,Walter C. Henry,Thomas Robert Hussey,,Walter C. Henry,,,,,,,
FSL Resources Ltd.,,,,,,,,,,,
Fujian Tianbao Mining Group Co Ltd,,,,,,,,,,,
Full Metal Minerals Ltd.,Michael J. Williams,Cale J. Moodie,,Michael J. Williams,,,,,,,
Fura Gems Inc.,Devidas Shetty,Ryan Ptolemy,Ashim Roy,Devidas Shetty,,,,,,,
"Furukawa Co., Ltd.",Minoru Iwata,,,Naohisa Miyakawa,,,,,,,
Fury Explorations Ltd.,,Donald A. Halliday,,,,,,,Kenneth R. Thorsen,,
Fusion Resources Pty Ltd,,,,,,,,,,,
FYI Resources Limited,Roland Hill,,,,,,,,Edmund Babington,,
Gabriel Resources Ltd.,Jonathan Henry,Max Vaughan,,Jonathan Henry,,,,,Keith R. Hulley,,
Gaelic Gold Corp.,,,,,,,,,,,
Gainey Capital Corp.,David Coburn,Michele Pillon,George Cantua,David Coburn,,,,,,,
Galahad Gold Plc,,,,,,,,,,,
Galane Gold Limited,Nicholas Brodie,Gavin Vandervegt,Wayne Hatton-Jones,,,,,,Ravi Sood,,Charles Byron
Galantas Gold Corporation,Roland Phelps,Leo O’Shaughnessy,,Roland Phelps,,,,,Lionel J. Gunter,,
Galaxy Minerals Inc.,Matthew J. Symonds,Matthew J. Symonds,,Matthew J. Symonds,,,,,,,
Galaxy Online Inc.,John Zambakkides,,,John Zambakkides,,,,,,,
Galaxy Resources Limited,Anthony Peter Tse,Alan Rule,Mark Pensabene,,,Nicholas Rowley,,,Martin Ronald Rowley,,Albert Thamm
Galena Mining Limited,Edward James Turner,,,,,,,,Adrian P. Byass,,
Galileo Petroleum Ltd.,,Mark T. Brown,,,,,,,,,
Galileo Resources Plc,Colin Bird,Carina de Beer,,,,,,,Colin Bird,,
Gallery Gold Pty Ltd.,,,,,,,,,,,
Gallery Resources Ltd.,,,,,,,,,,,
Galore Resources Inc.,James Michael McMillan,Andrew McMillan,,James Michael McMillan,,,,,,,
Galway Gold Inc.,Robert Hinchcliffe,Robert D. B. Suttie,,Robert Hinchcliffe,,,,,,,Michael W. Sutton
Galway Metals Inc.,Robert Hinchcliffe,Robert D. B. Suttie,,Robert Hinchcliffe,,,,,,Michael W. Sutton,Michael W. Sutton
Galway Metals Inc.,,,,,,,,,,,
Galway Resources Limited,,Carmelo Marrelli,,,,,,,,,
Gaming and Entertainment Group Ltd,,,,,,,,,,,
"Gansu Jiu Steel Group Hongxing Iron & Steel Co., Ltd.",? ?,? ??,,,,,,,? ??,,
"Gansu Ronghua Industry Group Co., Ltd.",? ?,? ??,,,,,,,? ?,,
Garibaldi Resources Corporation,Steve Regoci,Barrie Di Castri,,Steve Regoci,,,,,,Everett Makela,
Gascoyne Resources Limited,Michael Dunbar,David Lim,,,,,,,Rodney Michael Joyce,Julian David Goldsworthy,Julian David Goldsworthy
Gateway Gold Corp.,,,,,,,,,,,
Gateway Mining Limited,Andrew Gordon Bray,Gary Denville Franklin,,,,,,,Trent Franklin,Andrew Gordon Bray,Scott Jarvis
GB Energy Limited,,Anna MacKintosh,Anna MacKintosh,,,,,,Stuart Rechner,Nicholas Ross Burn,
GB Minerals Limited,Luis Guilherme Cabrita da Silva,Angel Law,,Luis Guilherme Cabrita da Silva,,,,,Owen Ryan,,
GBM Gold Limited,John Francis Harrison,,,,,,,,Eric Jwee Phuan Ng,,
GBM Resources Limited,Peter Thompson,Kevin Ronald Hart,,,,,,,Peter Thompson,Neil Norris,
GBS Gold International Inc,Gilbert Earl Playford,,,,,,,,Gilbert Earl Playford,,
GCM Resources Plc,,James Graham Hobson,Gary Norman Lye,,,,,,Vee Mun Tang,,
GE Mining,,,,,,,,,,,
Gear International Inc.,Cory Howden,,Rick Vanderhorst,Cory Howden,,Jamal Lucas,,,,,
Gem Diamonds Limited,Clifford Thomas Elphick,Michael Michael,Johny Verlloza,,,,,,Harry Kenyon?Slaney,,
Gem International Resources Inc.,Denis Hayes,Simon Ma,,Simon Tam,,,,,,,
Gemfields Plc,Ian Timothy Harebottle,Janet Hernandez Blas Boyce,,,,,,,Graham Edward Mascall,,
Gemini Explorations Inc.,Michael Hill,Michael Hill,,Michael Hill,,,,,,,
Gen III Oil Corporation,Gregory M. Clarkes,Rick Low,Angelo Battiston,George Davidson,,,,,Gregory M. Clarkes,,
Gencor Ltd.,,,,,,,,,,,
General Mining Corporation Limited,Michael George Fotios,Karen E. V. Brown,Michael George Fotios,,,,,,Michael George Fotios,Michael George Fotios,Michael George Fotios
"General Moly, Inc.",Bruce D. Hansen,Bruce D. Hansen,Robert I. Pennington,,,,,,Ricardo M. Campoy,,
Genesis Metals Corp.,Brian Groves,Robert J. Scott,,Jeffrey R. Sundar,,Shawn Khunkhun,,,Brian Groves,Andrew Liboiron,
Genesis Minerals Limited,Michael John Fowler,,,,,,,,Richard Grant Manners Hill,Michael John Fowler,Michael John Fowler
Genesis Petroleum Corp. Plc,Gerald Martin Harrison,,,,,,,,Gerald Martin Harrison,,
Genesis Resources Limited,Lung Yiu Pang,Patricia Wong,,,,,,,Lung Yiu Pang,James M. Patterson,James M. Patterson
Genetic Technologies Limited,Eutillio Buccilli,Kevin Fischer,,,,,,,Malcolm Roy Brandon,,
Genius Properties Ltd.,Guy Goulet,Liette Nadon,,Guy Goulet,,,,,,,
Gensource Potash Corporation,Michael J. Ferguson,Robert Theoret,,Michael J. Ferguson,,,,,Michael J. Ferguson,,
Gentor Resources Inc.,Arnold T. Kondrat,Donat K. Madilo,,Arnold T. Kondrat,,,,,,,
Geo Energy Resources Limited,Kum Hon Tung,Cheng Fei Chan,,,,,,,Charles Antonny Melati,,
GEO Minerals Ltd.,,,,,,,,,,,
Geocom Resources Inc.,John E. Hiner,,,John E. Hiner,,,,,,,
GeoCrystal Limited,Zlatomir A. Sas,,,,,,,,Keith C. Brooks,,
Geodex Minerals Limited,Gorden Glenn,Christopher O. Irwin,,Gorden Glenn,,,,,Gorden Glenn,Jack M. Marr,
"Geograce Resources Philippines, Inc.",,Ramoncito B. Cabalu,,Delfin S. Castro Jr.,,Vincent R. Bitong,,,Ho Co Chi,,
Geologix Explorations Inc.,Kiran U. Patankar,Evelyn Elizabeth Abbott,,Kiran U. Patankar,,,,,Dunham Lewis Craig,Gillian Kearvell,
Geomark Exploration Ltd.,Philip B. Hodge,Robb D. Thompson,,Philip B. Hodge,,,,,,,
GeoMega Resources Inc.,Kiril Mugerman,Ingrid Martin,,Kiril Mugerman,,,,,Patrick Godin,Alain Cayer,
Geomin Management,,,,,,,,,,,
Geonova Explorations Inc  (Campbell),,,,,,,,,,,
GeoNovus Minerals Corp.,"Alen Paul Silverrstieen, Michael B. England","Alen Paul Silverrstieen, John Masters",,"Alen Paul Silverrstieen, Michael B. England",,,,,Gabriel Napora,,
Geopacific Resources Limited,Ronald Stephen Heeks,Matthew Smith,,,,,,,Milan Jerkovic,Steven Whitehead,
GeoProMining Ltd.,,Oleg Belyaev,Andrei Gusev,,,,,,,,
Georgian Mining Corporation,Gregory Kuenzel,,,,,,,,Anthony David Frizelle,Martyn Churchouse,James Royall
Georox Resources Inc.,Burkhard Franz,Savitri Franz,Robert R. Richardson,Burkhard Franz,,,,,Daryl S. Fridhandler,,
Geovic Mining Corporation,Michael T. Mason,Christopher A. Serin,,,,,,Andrew C. Hoffman,Michael T. Mason,William A. Buckovic,
Gerdau S.A.,André Bier Gerdau Johannpeter,Harley Lorentz Scardoelli,,André Bier Gerdau Johannpeter,,,,,Claudio Gerdau Johannpeter,,
Gespeg Copper Resources Inc.,Sylvain Laberge,Andrew B. Davidson,,Sylvain Laberge,,,,,Tom M. MacNeill,,
Getchell Gold Corp.,,Donald S. Robson,,,,,,,,,
Getty Copper Inc.,John B. Lepinski,Donald R. Willoughby,John B. Lepinski,Dennis W. Milburn,,,,,Dennis W. Milburn,,Dennis W. Milburn
GFK Resources Inc.,Louis Morin,Michael W. Kinley,,Michael W. Kinley,,,,,Anthony Croll,,
GFM Resources Ltd.,José Antonio Rivero González Jr.,,,,,,,,José Antonio Rivero Larrea,,
GGL Resources Corporation,J. Graham Eacott,Nick DeMare,,,,,,,J. Graham Eacott,,
GGX Gold Corp.,Barry Brown,Zenaida Manalo,,Barry Brown,,,,,Barry Brown,,
Gilla Inc.,John Graham Simmonds Jr.,Ashish Kapoor,,,,Dillon Heins,,,John Graham Simmonds Jr.,,
Gilt-Edged Mining NL,,,,,,,,,,,
Gindalbie Metals Limited,Chris Stevens,Rebecca Moylan,,,,,,,Keith F. Jones,,
Giralia Resources Pty Ltd,Rodney Michael Joyce,Bruce Richard Acutt,,,,,,,,,
Gitennes Exploration Inc.,Kenneth D. Booth,Kerry M. Spong,,Kenneth D. Booth,,,,,,,
Giyani Gold Corporation,Duane Parnham,Daniel Crandall,,Wajd Boubou,,,,,Duane Parnham,,
Glacier Lake Resources Inc.,Satvir S. Dhillon,Scott Davis,,Satvir S. Dhillon,,,,,,,
Gladiator Resources Limited,,,,,,,,,,,
Gladstone Pacific Nickel Ltd.,Blair Brewster,,,,,,,,Domenic Vincent Martino,,
Glamis Gold Ltd.,,,,,,,,,,,
Glass Earth Mining Limited,,,,,,,,,,,
Glen Eagle Resources Inc.,Jean Labrecque,Daniel Bélisle,,Jean Labrecque,,,,,,,
Glencar Mining Plc,,,,,,,,,,,
Glencore Canada Corporation,,Michael Boone,,,,,,,,,
Glencore Plc,Ivan Glasenberg,Steven Kalmin,,,,Shaun Blankfield,,,Anthony Hayward,,
Glencore Queensland Limited,,,,,,,,,,,
Gleneagle Gold Limited,,,,,,,,,,,
Glenmore Highlands Inc (Mountain Province),,,,,,,,,,,
Global Atomic Fuels Corporation,,,Fergus P. Kerr,,,,,,,,
Global Cobalt Corporation,Andrey Melnikov,Alexei Musteatsa,,,,,,,,,
Global Copper Corp,,,,,,,,,Ross J. Beaty,,
Global Diamond Resources plc,,,,,,,,,,,
Global Energy Metals Corporation,Mitchell Smith,Luis Hadic,,Mitchell Smith,,,,,Erin Chutter,Paul Sarjeant,
"Global Ferronickel Holdings, Inc.",Joseph C. Sy,Mary Belle D. Bituin,,Dante R. Bravo,,,,,Joseph C. Sy,,
Global Finishing Inc.,Richard Diotte,,,Richard Diotte,,Christian Gagne,,,Richard Diotte,,
Global Gateway Media and Communications,,,,,,,,,,,
Global Geoscience Limited,Bernard Anthony Rowe,,,,,,,,James Derrick Calaway,Peter Michael Nicholson,
Global Gold Corporation,Van Z. Krikorian,Jan E. Dulman,,,,,,,Van Z. Krikorian,,Vigen Varshamyan
Global Hunter Corp.,Rudy Brauer,Brad D. Magnes,,Rudy Brauer,,,,,,,
Global Initiatives,,,,,,,,,,,
Global Min-Metal Holdings SA,,,,,,,,,,,
Global Petroleum Ltd.,Peter Gerard Hill,Peter Gerard Hill,,,,,,,John Alexander van der Welle,,
Global Strategic Metals NL,,,,,,,,,,,
GlobalMin Ventures Inc.,Peter Shepherd,Rakesh Malhotra,,Peter Shepherd,,,,,,,Paul Lechler
Globe Metals & Mining Limited,Alistair James Stephens,Michael Bernard Fry,,,,,,,Alice Wong,,Chrispine Ngwena
GlobeStar Mining Corporation,,,,,,,,,,,
Globetech Ventures Corp.,Kanwaljit S. Sachdeva,,,,,,,,,,
Globex Mining Enterprises Inc.,Jack Stoch,James G. Wilson,Jack Stoch,Jack Stoch,,,,,,,
Glory Resources Limited,,,,,,,,,,,
Glosobyk,,,,,,,,,,,
GMCI Corporation,Calvin Chin,M.W. Chan,S.N. Loh,Calvin Chin,,,,,Khing Ming Lok,,
GME Resources Limited,James Noel Sullivan,,,,,,,,Peter Ross Sullivan,,
GMV Minerals Inc.,Ian Mcculloch Klassen,Michele Pillon,,Ian Mcculloch Klassen,,,,,Alistair M. R. MacLennan,,
GobiMin Inc.,Felipe Tan,Yuen Kwan Ko,,Felipe Tan,,,,,Felipe Tan,,Lingchang Kong
Godawari Power & Ispat Limited,Bajrang Lal Agrawal,Sanjay Bothra,,,,,,,Biswajit Choudhuri,,
God's Lake Resources Inc.,Eduard H. Ludwig,David Molson,,Eduard H. Ludwig,,,,,,,
GoGold Resources Inc.,Bradley Langille,Dana M. Hatfield,Anis Nehme,Bradley Langille,,,,,Terence F. Coughlan,,
GoGold Resources Inc.,,,,,,,,,,,
Golconda Resources Ltd.,David Orr,,,David Orr,,,,,Robert J. Hunt,,
Gold and Silver Minerals Inc.,,,Scott Crompton,,,,,,,,
Gold Canyon Resources Inc.,Akiko Levinson,Lisa Sharp,,Akiko Levinson,,,,,,,
Gold City Industries Ltd,,,,,,,,,,,
Gold Dynamics Corp,Ming Li Tie,Ming Li Tie,,Ming Li Tie,,,,,,,
Gold Eagle Mines Ltd,,,Frank S. Rebeyka,,,,,,,,
Gold Fields Limited,Nicholas John Holland,Paul A. Schmidt,Adriaan de Beer,,,Brett J. Mattison,,,Cheryl Ann Carolus,Brett J. Mattison,
Gold Fields of South Africa,,,,,,,,,Johann Peter Rupert,,
Gold Finder Explorations Ltd.,Neil Linder,Peter Chen,,Neil Linder,,,,,,,
Gold Giant Ventures Inc,,,,,,,,,,,
"Gold Hill Resources, Inc.",Wayne Good,Wayne Good,,Jason Lieber,,Mark Flanagan,,,,,
Gold Hills Mining Ltd.,Urmas Turu,Urmas Turu,,,,,,,,,
Gold Lakes Corp.,Christopher P. Vallos,Christopher P. Vallos,,Christopher P. Vallos,,,,,,,
Gold Mines of Sardinia Pty. Ltd.,,,,,,,,,,,
Gold Mountain Limited,Syn Ping Teng,David Wallace Clark,,,,,,,Graham Edward Kavanagh,Douglas Hector Macdonald Smith,Douglas Hector Macdonald Smith
Gold Mountain Mining Corporation,Christopher McLeod,Rodney A. Shier,,Christopher McLeod,,,,,James C. O’Rourke,,
Gold One International Limited,Christopher D. Chadwick,Christopher D. Chadwick,,,,Amanda Markman,,Grant M. Stuart,Yalei Sun,,
Gold Reach Resources Limited,Shane W. Ebert,Chantelle Collins,,Shane W. Ebert,,,,,Patrick L. Glazier,Shane W. Ebert,
Gold Reserve Inc.,Rockne J. Timm,Robert A. McGuinness,,A. Douglas Belanger,,,,,James Hayward Coleman,,
Gold Resource Corporation,Jason D. Reid,John A. Labate,Richard M. Irvine,Jason D. Reid,,Gregory A. Patterson,,,Bill M. Conrad,Barry D. Devlin,
Gold Road Resources Limited,Ian Murray,Timothy Peter Manners,,,,,,,Timothy Carl Netscher,John Donaldson,John Donaldson
Gold Standard Ventures Corporation,Jonathan T. Awde,Michael N. Waldkirch,,Jonathan T. Awde,,,,,,Mac R. Jackson Jr.,
"Gold Standard, Inc.",,,,Marianne Messer,,,,,Kenneth McGurn,,
Gold Summit Corp,,,,,,,,,,,
Gold World Resources Inc.,,Domenico Bertucci,Domenico Bertucci,,,,,,Ping Chan,,
Goldbank Mining Corporation,James Boyce,Luis Botto,,James Boyce,,,,,,,
Goldbar Resources Inc.,John Busswood,Robert William Anderson,,John Busswood,,,,,John Busswood,,
Goldbelt Resources Ltd,,,,,,,,,Paul J. Morgan,,
Goldbrook Ventures Inc.,,James Xiang,Zhang Shu,Zhang Shu,,,,,,,
Goldcliff Resource Corporation,George Walter Sanders,Gary Robert Moore,,George Walter Sanders,,,,,,,Edwin Ross Rockel
Goldcorp Incorporated,David A. Garofalo,Russell David Ball,Todd White,David A. Garofalo,,Jason Mark Attew,,,Ian W. Telfer,Paul D. Harbidge,
Goldcrest Resources Ltd,,,,,,,,,,,
Goldcrest Resources PLC,,,,,,,,,,,
Golden Arch Resources Ltd.,,,Richard Somerville,,,,,,,,
Golden Band Resources Inc.,Paul Fredrick Saxton,,,Paul Fredrick Saxton,,,,,,,
Golden Briar Mines Ltd.,Murdo Duncan McLeod,,,,,,,,,,
Golden Cariboo Resources Ltd.,Thomas John Kennedy,Christopher P. Cherry,,,,,,,,,
Golden China Resources Corp (Eldorado Gold),,Frank Chen,,,,Moyu Zhang,,,John Patrick Horan,,
Golden Cross Resources Limited,Bret Ferris,,,,,,,,Kenneth John Hellsten,Bret Ferris,Glenn Coianiz
Golden Cycle Gold Corp,R. Herbert Hampton,R. Herbert Hampton,,R. Herbert Hampton,,,,,James C. Ruder,,
Golden Dawn Minerals Inc.,Wolf Wiese,Ke Feng Yuan,Mathew Ball,Wolf Wiese,,,,,,,Mathew Ball
Golden Deeps Limited,,Norman Grafton,Norman Grafton,,,,,,,,
Golden Eagle International Inc.,Robert W. Ferguson,Philip F. Grey,,,,,,,,,
Golden Goliath Resources Ltd.,J. Paul Sorbara,Stephen W. Pearce,,J. Paul Sorbara,,,,,,,
Golden Goose Resources Inc.,,,,,,,,,,,
Golden Hat Resources Inc.,,,,,,,,,,,
Golden Hope Mines Limited,,Nathalie Laurin,Michael Alexander Dehn,Frank Candido,,,,,Michael T. Zurowski,,
Golden Knight Resources Inc.,,,,,,,,,,,
"Golden Matrix Group, Inc.",Anthony Brian Goodman,Weiting Feng,,Anthony Brian Goodman,,,,,Anthony Brian Goodman,,
Golden Mile Resources Limited,,,,,,,,,Rhoderick Gordon John Grivas,,Paul Frawley
Golden Minerals Company,Warren M. Rehn,Robert P. Vogels,,Warren M. Rehn,,,,,Jeffrey G. Clevenger,Warren M. Rehn,Warren M. Rehn
Golden Nugget Exploration Inc.,Jacob Hagop Kalpakian,Neil Spellman,,Jacob Hagop Kalpakian,,,,,,,
Golden Oasis Exploration Corp,,,,,,,,,,,
Golden Patriot Corp.,,,,Michael J. Gelmon,,,,,,,
Golden Peak Minerals Inc.,Wesley C. Hanson,P. Joseph Meagher,,Wesley C. Hanson,,,,,,,
"Golden Phoenix Minerals, Inc.",Donald B. Gunn,,,Donald B. Gunn,,,,,Donald B. Gunn,,
Golden Predator Exploration Ltd.,William M. Sheriff,Timothy P. Leybold,Michael G. Maslowski,,,,,,,Jeffrey Cary,
Golden Predator Mining Corp.,Janet Lee-Sheriff,Gregory J. Hayes,,,,,,,William M. Sheriff,Dennis Ouellette,Michael Burke
Golden Queen Mining Co. Ltd.,Thomas M. Clay,Guy Le Bel,Robert C. Walish Jr.,,,,,,Thomas M. Clay,,Peter A. Herrera
Golden Raven Resources Ltd.,,,,,,,,,,,
Golden Reign Resources Ltd.,Kevin Bullock,Michele Pillon,,Diana Kim Evans,,,,,Abraham Hendrik Jonker,Zoran Pudar,
Golden Rim Resources Limited,Craig Mackay,,,,,,,,Glenister Lamont,Alex Raab,Craig Mackay
Golden River Resources Corporation,,Peter James Lee,,,,,,,,,
Golden Saint Resources Limited,,Keng Hock Seah,,,,,,,David Stanley McDonald,Hassan Abass Kargbo,Mohamed A. S. Deen
Golden Secret Ventures Ltd.,Christy Louth,Joanna Vastardis,,Christy Louth,,,,,,,
Golden Share Resources Corporation,Nianqing N. Zeng,Hua Gao,,Nianqing N. Zeng,,,,,Nianqing N. Zeng,,
Golden Star Resources Limited,Samuel T. Coetzer,Pieter André van Niekerk,Daniel M. A. Owiredu,Samuel T. Coetzer,,Karen Walsh,,,Timothy C. Baker,Steven Mitchel Wasel,
Golden Sun Mining Corporation,,,,,,,,,,,
Golden Tag Resources Limited,David M. Rigg,Marc A. Carrier,,Marc A. Carrier,,,,,,,
Golden Trump Mexico S.A. de C.V.,,,,,,,,,,,
Golden Valley Mines Limited,Glenn J. Mullan,Annie J. Karahissarian,,Glenn J. Mullan,,,,,Glenn J. Mullan,Michael P. Rosatelli,
Golden Virtue Resources Inc.,,,,,,,,,,,
Goldex Resources Corporation,James Ravannack,Charles E. Ross,,Charles E. Ross,,,,,James Ravannack,Larry David Kornze,Richard Bybee
Goldeye Explorations Limited,Robin Luke Webster,Amy Lai Mey Stephenson,,Robin Luke Webster,,,,,John Richard Dean,,
